BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2458818.282413,1.00113,0.00287,1.7076,-0.44,-0.12,7.81,31470
2458818.283837,0.99718,0.00294,1.7074,0.14,-1.04,9.18,25399
2458818.284554,0.98948,0.00290,1.7073,0.17,0.20,8.11,29685
2458818.285260,0.98591,0.00290,1.7073,0.02,0.42,8.47,28755
2458818.285978,0.97859,0.00290,1.7073,0.26,-0.88,9.45,25540
2458818.286696,0.97609,0.00294,1.7074,-0.20,0.27,8.91,24881
2458818.287403,0.96998,0.00289,1.7075,0.37,0.49,9.34,25603
2458818.288120,0.96303,0.00287,1.7077,0.52,-1.02,8.77,28739
2458818.288838,0.95405,0.00288,1.7079,0.47,0.67,8.23,29614
2458818.289544,0.95498,0.00294,1.7082,-0.81,1.21,8.40,26106
2458818.290979,0.93253,0.00285,1.7089,0.38,-0.20,9.00,27991
2458818.291685,0.92985,0.00282,1.7092,-0.47,-1.04,8.74,29019
2458818.292403,0.92229,0.00277,1.7097,0.43,-0.05,8.81,34099
2458818.293120,0.92234,0.00276,1.7102,0.51,-0.52,9.23,31896
2458818.293826,0.91344,0.00278,1.7107,-0.74,-0.23,8.60,29351
2458818.294544,0.91243,0.00279,1.7113,0.56,0.35,8.08,30183
2458818.295979,0.90760,0.00281,1.7126,-0.30,-0.54,9.23,26507
2458818.296685,0.90665,0.00284,1.7133,0.10,-0.16,9.31,25605
2458818.297403,0.90116,0.00283,1.7141,0.45,0.04,9.70,25611
2458818.298120,0.90800,0.00283,1.7149,0.27,-0.33,8.48,31130
2458818.298826,0.90351,0.00282,1.7158,-0.29,1.42,9.53,29932
2458818.299544,0.90339,0.00280,1.7167,0.24,-0.53,9.47,29020
2458818.300980,0.91141,0.00286,1.7187,0.43,-0.16,9.57,27584
2458818.301698,0.90158,0.00277,1.7197,0.53,0.22,9.51,30391
2458818.302404,0.90080,0.00278,1.7208,0.72,-0.12,9.12,31691
