BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2458818.260826,1.00088,0.00786,1.7339,1.35,-0.56,8.11,29422
2458818.261313,1.01090,0.00774,1.7329,-0.02,-0.43,7.09,37819
2458818.261787,1.00375,0.00765,1.7318,-0.30,-0.32,6.30,41590
2458818.262273,0.99161,0.00796,1.7308,1.32,1.96,7.90,30132
2458818.262759,0.99756,0.00768,1.7298,0.23,-0.42,7.03,37040
2458818.263245,1.00152,0.00770,1.7288,0.23,-0.76,6.83,38826
2458818.263720,1.00673,0.00765,1.7279,-0.04,-0.49,6.69,42577
2458818.264206,1.00855,0.00760,1.7270,0.84,-0.41,6.03,46171
2458818.265167,1.00167,0.00774,1.7252,0.64,0.57,7.12,35810
2458818.265653,1.00905,0.00768,1.7243,-0.46,0.28,6.80,38247
2458818.266139,0.99698,0.00782,1.7235,0.45,-0.01,7.17,32002
2458818.266625,1.00701,0.00772,1.7226,0.34,-0.25,7.14,35929
2458818.267100,1.00913,0.00774,1.7218,0.33,-0.30,7.29,35081
2458818.267586,1.00857,0.00760,1.7211,-0.37,-0.51,6.62,39981
2458818.268072,0.99712,0.00777,1.7203,1.30,0.22,6.90,34202
2458818.268558,0.99548,0.00765,1.7196,-0.08,0.02,6.93,36954
2458818.269033,0.99367,0.00766,1.7189,0.73,-0.15,6.73,39920
2458818.269519,0.99695,0.00775,1.7182,-0.88,-0.81,6.44,41692
2458818.270005,0.99686,0.00757,1.7175,0.62,-0.18,6.57,41000
2458818.270491,0.99947,0.00771,1.7169,0.14,0.22,7.27,35368
2458818.270965,1.00043,0.00767,1.7162,0.13,0.02,6.86,42642
2458818.271451,1.00152,0.00757,1.7156,0.18,-0.81,6.24,42408
2458818.271938,1.00993,0.00764,1.7150,0.32,0.38,6.66,40979
2458818.272424,0.99702,0.00764,1.7145,0.83,-0.22,6.89,37416
2458818.272898,1.00207,0.00767,1.7139,0.10,-1.16,6.43,41698
2458818.273385,1.00339,0.00784,1.7134,-0.08,0.67,7.47,31801
2458818.273871,1.00999,0.00783,1.7129,0.92,0.10,7.10,34029
2458818.274358,1.01883,0.00789,1.7124,0.93,0.77,7.31,31511
2458818.274832,1.01246,0.00795,1.7120,-0.74,-0.58,7.74,29993
2458818.275318,0.98913,0.00782,1.7116,-0.17,-1.20,7.31,34555
2458818.275804,0.99679,0.00786,1.7112,0.43,0.17,7.37,32912
2458818.276290,1.00408,0.00789,1.7108,0.36,0.86,7.48,32657
2458818.276765,1.00644,0.00783,1.7104,0.97,-0.65,7.18,35539
2458818.277251,1.00636,0.00798,1.7100,-0.47,-0.60,7.53,31424
2458818.277737,1.00395,0.00828,1.7097,-0.06,0.95,7.86,27147
2458818.278212,0.99477,0.00815,1.7094,0.42,-0.64,8.13,27054
2458818.278698,1.00464,0.00801,1.7091,0.60,-0.74,7.74,29790
2458818.281603,1.00677,0.00812,1.7078,1.21,1.08,7.85,26888
2458818.282089,1.00255,0.00792,1.7077,-0.02,-0.62,7.13,34083
2458818.282564,0.99217,0.00792,1.7076,-0.43,0.24,6.79,34821
2458818.284022,1.00259,0.00801,1.7073,0.28,-1.60,7.39,31307
2458818.284508,1.00000,0.00804,1.7073,0.03,-0.20,7.74,30329
2458818.284994,0.98437,0.00809,1.7073,0.48,0.79,7.13,30582
2458818.285480,1.00877,0.00791,1.7073,-0.34,-0.15,7.23,34000
2458818.285955,0.98029,0.00804,1.7073,0.80,-0.43,7.54,30950
2458818.286928,0.97326,0.00802,1.7075,0.99,0.34,7.87,30503
2458818.287403,0.97542,0.00791,1.7075,-0.08,0.76,7.29,30502
2458818.287889,0.95664,0.00781,1.7076,0.49,-2.09,6.78,34388
2458818.288375,0.96446,0.00791,1.7078,0.52,-0.40,7.28,33495
2458818.288861,0.95844,0.00801,1.7079,0.78,0.47,7.16,32223
2458818.291268,0.94305,0.00780,1.7090,0.09,-0.71,7.09,35202
2458818.291754,0.93838,0.00778,1.7093,-0.49,-1.40,6.98,35833
2458818.292241,0.92732,0.00762,1.7096,0.59,-0.15,6.74,39927
2458818.292727,0.92454,0.00765,1.7099,0.25,0.30,6.80,41082
2458818.293201,0.91867,0.00764,1.7103,0.61,-0.11,7.09,39159
2458818.293687,0.90762,0.00784,1.7106,-0.72,0.14,7.04,34279
2458818.294173,0.92148,0.00785,1.7110,0.12,-0.35,6.90,35196
2458818.294648,0.90076,0.00767,1.7114,0.49,0.19,6.51,39705
2458818.295134,0.90248,0.00797,1.7118,0.23,0.67,7.57,30399
2458818.295620,0.91315,0.00799,1.7123,-0.06,1.64,7.75,29733
2458818.296106,0.91170,0.00779,1.7127,0.35,-1.77,7.01,34718
2458818.296592,0.90486,0.00801,1.7132,-0.14,-0.66,7.18,31579
2458818.297553,0.91552,0.00799,1.7143,0.50,-0.09,7.19,32144
2458818.298039,0.90828,0.00795,1.7148,0.05,-0.10,6.96,34655
2458818.298525,0.89814,0.00772,1.7154,0.57,-0.25,6.99,38862
2458818.299011,0.89367,0.00784,1.7160,-0.38,1.81,7.21,35183
2458818.299497,0.89909,0.00771,1.7166,0.28,-0.66,7.11,36239
2458818.299984,0.89248,0.00803,1.7173,0.22,-0.89,7.50,32163
2458818.300945,0.90106,0.00793,1.7186,0.45,-0.72,7.08,36272
2458818.301431,0.89220,0.00771,1.7193,0.56,0.64,6.99,38699
2458818.301917,0.90036,0.00782,1.7201,0.21,-0.72,7.05,38554
2458818.302392,0.89658,0.00778,1.7208,0.85,-0.28,6.43,41750
2458818.302878,0.89464,0.00811,1.7216,-0.17,0.44,7.79,29413
2458818.303364,0.89384,0.00779,1.7224,-1.12,-0.18,6.02,47584
2458818.303850,0.91152,0.00784,1.7232,0.04,0.12,5.94,45935
2458818.304325,0.89475,0.00784,1.7240,-0.51,0.12,6.33,44066
2458818.304811,0.89833,0.00770,1.7249,0.74,0.05,6.36,45764
2458818.305297,0.89990,0.00781,1.7257,-0.65,-1.06,6.40,41992
2458818.305772,0.89914,0.00779,1.7266,0.51,0.08,6.29,45341
2458818.306258,0.88724,0.00781,1.7276,0.21,-0.39,6.48,43694
2458818.306744,0.89155,0.00772,1.7285,-0.07,0.52,6.42,46588
2458818.307230,0.89159,0.00771,1.7295,0.40,-0.35,5.92,48848
2458818.307704,0.88515,0.00771,1.7305,0.00,-0.14,5.92,51748
2458818.308191,0.89045,0.00768,1.7315,-0.10,0.32,5.85,54462
2458818.308677,0.89789,0.00795,1.7325,-0.15,0.02,6.57,41067
2458818.309163,0.88029,0.00788,1.7336,0.92,-0.86,6.35,45019
2458818.309649,0.88887,0.00766,1.7347,-0.15,-0.72,5.34,57255
2458818.310123,0.89714,0.00772,1.7358,0.25,2.30,5.44,57193
2458818.310610,0.89853,0.00783,1.7369,-0.28,0.31,6.45,44297
2458818.311096,0.89446,0.00776,1.7380,-0.27,-0.94,6.13,46729
2458818.311582,0.90181,0.00774,1.7392,-0.33,-0.94,6.21,53171
2458818.312056,0.88174,0.00787,1.7404,0.72,1.75,6.88,36688
2458818.312542,0.89897,0.00770,1.7416,-0.37,-0.20,6.01,47879
2458818.313029,0.88094,0.00761,1.7429,-0.46,-0.29,5.91,51944
2458818.313515,0.90009,0.00766,1.7441,-0.04,-0.78,5.91,50174
2458818.313989,0.88249,0.00776,1.7454,-0.72,0.23,6.11,49078
2458818.314476,0.90348,0.00764,1.7467,0.19,0.39,5.80,48706
2458818.314962,0.89840,0.00767,1.7480,0.25,-0.60,5.68,48102
2458818.315449,0.89854,0.00781,1.7494,-0.03,1.12,6.63,43454
2458818.315923,0.90639,0.00777,1.7508,-0.38,-0.48,6.40,46568
2458818.316409,0.90836,0.00776,1.7522,-0.52,0.83,6.21,45383
2458818.316895,0.90097,0.00764,1.7536,-0.51,-0.12,5.62,54771
2458818.317381,0.90399,0.00777,1.7551,0.13,-0.40,5.84,50033
2458818.317856,0.90230,0.00783,1.7565,-0.08,0.37,6.64,44791
2458818.318342,0.91439,0.00768,1.7580,-0.11,-0.40,6.11,52678
2458818.318828,0.91192,0.00783,1.7596,0.41,0.17,6.04,45827
2458818.319314,0.91081,0.00781,1.7611,-0.80,-0.25,6.16,44147
2458818.319789,0.91877,0.00779,1.7627,0.28,0.12,6.25,43906
2458818.320275,0.91404,0.00783,1.7643,0.00,1.42,6.64,42189
2458818.320761,0.92071,0.00782,1.7659,0.12,0.40,6.56,45096
2458818.321247,0.92498,0.00785,1.7676,-0.38,0.10,6.77,39443
2458818.321722,0.91477,0.00797,1.7692,-0.52,-0.02,6.87,36317
2458818.322208,0.92714,0.00792,1.7709,0.17,0.37,6.90,38740
2458818.322694,0.93556,0.00793,1.7726,0.06,0.30,6.58,40346
2458818.323180,0.93627,0.00781,1.7744,-1.41,0.18,5.72,50569
2458818.323655,0.92955,0.00780,1.7761,0.21,-0.30,5.82,51993
2458818.324141,0.93926,0.00785,1.7780,-0.45,0.40,6.39,44092
2458818.324627,0.94881,0.00777,1.7798,-0.24,-0.35,5.64,52887
2458818.325113,0.96124,0.00788,1.7817,0.83,-0.38,5.93,50344
2458818.325587,0.94200,0.00784,1.7835,-0.93,0.93,6.11,49166
2458818.326074,0.95719,0.00777,1.7854,0.26,0.13,6.04,55706
2458818.326560,0.97495,0.00780,1.7873,-0.76,0.41,5.96,54254
2458818.327046,0.98327,0.00788,1.7893,0.24,0.16,6.21,52534
2458818.327532,0.96712,0.00793,1.7913,-1.17,0.12,6.09,48413
2458818.328018,0.98382,0.00787,1.7933,0.45,0.99,6.00,49974
2458818.328505,0.98668,0.00793,1.7954,-0.82,-0.96,6.04,49833
2458818.328980,0.98401,0.00785,1.7974,0.44,-0.42,6.38,48749
2458818.329466,0.98057,0.00783,1.7995,-0.77,0.47,5.67,54549
2458818.329952,0.98062,0.00795,1.8016,-1.01,0.57,5.56,56883
2458818.330438,0.98989,0.00799,1.8038,-0.09,0.54,5.92,52811
2458818.330913,0.98601,0.00796,1.8059,-0.25,-0.11,5.88,48680
2458818.331399,1.00886,0.00793,1.8081,0.04,-0.08,5.50,59019
2458818.331885,1.00905,0.00800,1.8104,-0.02,0.16,5.81,53095
2458818.332359,1.00484,0.00801,1.8126,-0.20,0.86,6.55,45816
2458818.332845,1.00975,0.00810,1.8149,-0.55,0.42,6.38,43882
2458818.333332,0.99631,0.00821,1.8172,-0.52,-0.67,6.76,39179
2458818.333818,1.01488,0.00824,1.8195,0.29,1.92,6.61,40521
2458818.334292,1.00436,0.00810,1.8219,-1.38,-0.05,6.40,42973
2458818.334778,1.00233,0.00807,1.8243,-0.06,-1.15,6.33,47878
2458818.335264,1.00831,0.00825,1.8267,-0.60,1.65,6.89,36667
2458818.335750,1.00964,0.00834,1.8292,0.61,0.92,6.69,37206
2458818.336225,0.99515,0.00834,1.8316,-0.81,-0.45,7.26,36833
